name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Guarulhos, SP, Brasil",2024-10-07,28.9,15.0,19.7,27.6,15.0,19.6,12.9,68.2,0.0,0,0.0,,0,0,17.6,20.5,114.6,1017.0,51.8,10.0,168.6,14.5,6,10,2024-10-07T05:40:04,2024-10-07T18:07:45,0.16,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBMT,83075099999,F7461,SBSP,SBGR,83780099999"
"Guarulhos, SP, Brasil",2024-10-08,33.9,16.0,21.1,33.2,16.0,21.1,15.3,72.9,0.0,0,0.0,,0,0,31.3,23.5,124.7,1015.1,52.3,8.7,134.9,11.5,5,10,2024-10-08T05:39:07,2024-10-08T18:08:08,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83075099999,F7461,SBSP,SBGR,83780099999"
"Guarulhos, SP, Brasil",2024-10-09,23.8,15.0,18.5,23.8,15.0,18.5,15.7,84.7,0.6,100,4.17,rain,0,0,34.2,18.6,139.4,1018.5,55.1,7.0,46.7,4.0,2,10,2024-10-09T05:38:11,2024-10-09T18:08:32,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83075099999,F7461,SBSP,SBGR,83780099999"
"Guarulhos, SP, Brasil",2024-10-10,26.9,18.0,20.9,27.8,18.0,21.0,17.3,81.0,0.0,0,0.0,rain,0,0,41.0,21.9,84.1,1017.2,84.1,8.4,82.3,7.1,4,10,2024-10-10T05:37:14,2024-10-10T18:08:56,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83075099999,F7461,SBSP,SBGR,83780099999"
"Guarulhos, SP, Brasil",2024-10-11,28.0,19.0,21.8,29.6,19.0,22.1,19.3,86.9,19.0,100,8.33,rain,0,0,60.8,19.9,53.5,1013.9,84.0,7.7,72.5,6.2,4,10,2024-10-11T05:36:19,2024-10-11T18:09:20,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83075099999,F7461,SBSP,SBGR,83780099999"
"Guarulhos, SP, Brasil",2024-10-12,28.9,17.9,22.3,28.8,17.9,22.3,17.1,74.5,0.1,100,4.17,rain,0,0,56.2,23.9,286.2,1017.4,89.7,9.4,112.3,9.5,4,10,2024-10-12T05:35:24,2024-10-12T18:09:45,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83075099999,F7461,SBSP,SBGR,83780099999"
"Guarulhos, SP, Brasil",2024-10-13,25.9,16.0,19.4,25.9,16.0,19.4,14.7,75.2,0.0,0,0.0,rain,0,0,32.8,20.8,137.2,1025.0,80.5,10.0,130.3,11.3,6,10,2024-10-13T05:34:30,2024-10-13T18:10:11,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83075099999,F7461,SBSP,SBGR,83780099999"
"Guarulhos, SP, Brasil",2024-10-14,26.7,17.0,19.8,27.1,17.0,19.8,15.2,75.6,0.0,0,0.0,,0,0,32.4,18.4,126.4,1024.8,83.0,9.9,81.0,7.2,6,10,2024-10-14T05:33:36,2024-10-14T18:10:37,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83075099999,F7461,SBSP,SBGR,83780099999"
