datetime,tempmin,temp,tempmax
2024-09-30,18.0,23.2,31.8
2024-10-01,18.1,25.5,34.0
2024-10-02,19.0,25.9,36.9
2024-10-03,16.0,18.9,21.9
2024-10-04,15.0,16.4,18.0
2024-10-05,15.0,18.2,23.9
2024-10-06,16.0,19.3,28.8
2024-10-07,15.0,19.7,28.9
