name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Guarulhos, SP, Brasil",2024-10-14,26.7,17.0,19.8,27.1,17.0,19.8,15.2,75.6,0.0,0,0.0,,0,0,32.4,18.4,126.4,1024.8,83.0,9.9,81.0,7.2,6,10,2024-10-14T05:33:36,2024-10-14T18:10:37,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83075099999,F7461,SBSP,SBGR,83780099999"
"Guarulhos, SP, Brasil",2024-10-15,29.0,16.0,20.7,29.0,16.0,20.8,15.1,72.4,0.0,0,0.0,,0,0,31.7,23.6,93.4,1020.0,78.8,9.5,176.6,15.2,6,10,2024-10-15T05:32:43,2024-10-15T18:11:03,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83075099999,F7461,SBSP,SBGR,83780099999"
"Guarulhos, SP, Brasil",2024-10-16,30.9,16.0,22.8,30.5,16.0,23.0,16.6,70.8,0.0,0,0.0,,0,0,28.1,23.7,217.0,1015.8,58.9,8.3,107.5,9.3,5,30,2024-10-16T05:31:50,2024-10-16T18:11:30,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83075099999,F7461,SBSP,SBGR,83780099999"
"Guarulhos, SP, Brasil",2024-10-17,30.9,17.0,22.4,30.8,17.0,22.4,15.6,68.2,0.0,0,0.0,,0,0,25.2,18.0,173.1,1016.7,63.8,9.8,184.0,15.9,6,10,2024-10-17T05:30:59,2024-10-17T18:11:57,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83075099999,F7461,SBSP,SBGR,83780099999"
"Guarulhos, SP, Brasil",2024-10-18,28.8,16.0,20.5,29.6,16.0,20.5,16.1,77.5,0.6,100,4.17,rain,0,0,20.9,16.8,122.3,1016.4,54.4,8.7,117.9,10.0,6,10,2024-10-18T05:30:08,2024-10-18T18:12:24,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83075099999,F7461,SBSP,SBGR,83780099999"
"Guarulhos, SP, Brasil",2024-10-19,19.0,14.9,17.4,19.0,14.9,17.4,15.5,88.8,18.0,100,8.33,rain,0,0,29.2,14.7,145.1,1016.1,97.4,7.8,19.9,1.5,1,10,2024-10-19T05:29:18,2024-10-19T18:12:52,0.57,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SBMT,83075099999,F7461,SBSP,SBGR,83780099999"
"Guarulhos, SP, Brasil",2024-10-20,19.9,15.0,17.2,19.9,15.0,17.2,16.1,93.4,9.4,100,8.33,rain,0,0,30.2,14.7,124.1,1016.6,96.3,8.7,32.5,2.9,1,10,2024-10-20T05:28:28,2024-10-20T18:13:21,0.6,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"SBMT,83075099999,F7461,SBSP,SBGR,83780099999"
"Guarulhos, SP, Brasil",2024-10-21,24.9,17.0,21.0,24.9,17.0,21.0,17.7,81.9,0.8,100,8.33,rain,0,0,30.6,20.3,95.2,1019.4,86.7,10.0,105.2,9.1,4,10,2024-10-21T05:27:40,2024-10-21T18:13:50,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83075099999,F7461,SBSP,SBGR,83780099999"
