datetime,tempmin,temp,tempmax
2024-10-14,17.0,19.8,26.7
2024-10-15,16.0,20.7,29.0
2024-10-16,16.0,22.8,30.9
2024-10-17,17.0,22.4,30.9
2024-10-18,16.0,20.5,28.8
2024-10-19,14.9,17.4,19.0
2024-10-20,15.0,17.2,19.9
2024-10-21,17.0,21.0,24.9
