datetime,description,icon
2024-10-07,Clearing in the afternoon.,partly-cloudy-day
2024-10-08,Partly cloudy throughout the day.,partly-cloudy-day
2024-10-09,Partly cloudy throughout the day with late afternoon rain.,rain
2024-10-10,Partly cloudy throughout the day.,partly-cloudy-day
2024-10-11,Partly cloudy throughout the day with rain.,rain
2024-10-12,Partly cloudy throughout the day with late afternoon rain.,rain
2024-10-13,Partly cloudy throughout the day.,partly-cloudy-day
2024-10-14,Partly cloudy throughout the day.,partly-cloudy-day
